txn_id,outlet_code,outlet_name,city,region,txn_date,payment_method,coupon_code,discount_amt,tax_amt,total_amt,return_flag,sku,product_name,category,brand,qty,sale_price,cost_price,line_total,line_profit
1,DL-001,RetailIQ – Connaught Place,New Delhi,North,2024-01-15 11:20:00,Card,NEWYEAR10,99.90,162.72,2097.82,0,APP-M-S01,Slim Fit Oxford Shirt,Men,Urbano,1,999,380,899.10,619.00
1,DL-001,RetailIQ – Connaught Place,New Delhi,North,2024-01-15 11:20:00,Card,NEWYEAR10,99.90,162.72,2097.82,0,APP-M-C01,Stretch Comfort Chinos,Men,Urbano,1,1499,540,1499.00,959.00
1,DL-001,RetailIQ – Connaught Place,New Delhi,North,2024-01-15 11:20:00,Card,NEWYEAR10,99.90,162.72,2097.82,0,ACC-BELT-M1,Full-Grain Leather Belt M,Belts,Louis Philippe,1,899,300,809.10,599.00
2,DL-001,RetailIQ – Connaught Place,New Delhi,North,2024-01-22 15:40:00,UPI,,0.00,89.82,1157.82,0,APP-W-K01,Hand-Embroidered Kurti,Women,Biba,1,1199,460,1199.00,739.00
2,DL-001,RetailIQ – Connaught Place,New Delhi,North,2024-01-22 15:40:00,UPI,,0.00,89.82,1157.82,0,APP-W-P01,High-Rise Palazzo Pants,Women,W,1,799,310,399.50,245.00
3,MH-001,RetailIQ – Bandra West,Mumbai,West,2024-01-18 13:10:00,Card,VIP20,200.00,214.56,2768.56,0,APP-M-J01,Quilted Bomber Jacket,Men,Roadster,1,2799,980,2799.00,1819.00
3,MH-001,RetailIQ – Bandra West,Mumbai,West,2024-01-18 13:10:00,Card,VIP20,200.00,214.56,2768.56,0,SHOE-M-L01,Burnished Leather Loafer,Men Shoes,Clarks,1,2499,840,2499.00,1659.00
3,MH-001,RetailIQ – Bandra West,Mumbai,West,2024-01-18 13:10:00,Card,VIP20,200.00,214.56,2768.56,0,ACC-BAG-C01,Large Canvas Tote,Bags,Caprese,1,1599,610,1279.20,670.00
4,KA-001,RetailIQ – Koramangala,Bengaluru,South,2024-02-03 10:00:00,UPI,,0.00,119.88,1546.88,0,APP-W-D01,Floral Wrap Midi Dress,Women,W,1,1299,460,1299.00,839.00
4,KA-001,RetailIQ – Koramangala,Bengaluru,South,2024-02-03 10:00:00,UPI,,0.00,119.88,1546.88,0,SHOE-W-B01,Suede Ballet Flat,Women Shoes,Mochi,1,999,380,999.00,619.00
